RANGO ETARIO,NIVEL EDUCACIONAL,SEXO,ESTADO CIVIL,ACTIVIDAD,ESTADO ACTUAL,AÑO APERTURA TARJETA,CUPO MÁXIMO,PORCENTAJE DE USO DEL CUPO,VECES QUE COMPRA EN PROMEDIO AL AÑO,UNIDADES COMPRADAS DEL PRODUCTO A,UNIDADES COMPRADAS DEL PRODUCTO B,CANTIDAD HISTORICA DE ATRASOS EN PAGOS,COMPRA PRODUCTO EN PROMOCIÓN
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"1,131,186",100.0%,8,9,4,25,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.2%,10,2,9,22,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2007,"464,232",100.0%,9,8,0,6,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.5%,9,10,1,10,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2005,"301,500",0.0%,5,0,8,5,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,7,0,6,20,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,8,5,24,NO
MENOR QUE 30,EDUC. MEDIA,MASCULINO,SOLTERO,ESTUDIANTE,DEUDA DE 1 MES,2014,"301,500",0.0%,8,2,10,22,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"1,771,005",100.0%,10,3,4,13,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2013,"301,500",0.0%,8,5,3,14,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,10,2,4,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,9,4,7,6,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,1,7,15,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,9,7,1,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",100.0%,10,6,2,12,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"2,670,904",100.0%,9,3,10,21,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2006,"301,500",0.0%,6,1,1,19,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,6,6,5,24,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,2,8,11,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,7,6,7,5,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,5,0,6,6,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2010,"301,500",0.2%,5,0,1,12,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,8,9,0,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",54.2%,8,10,8,22,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"2,903,656",100.0%,9,0,5,4,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2010,"301,500",0.0%,5,1,5,20,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,DEUDA DE 2 MESES,2006,"301,500",94.2%,17,0,4,18,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,10,1,15,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,6,2,0,7,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,9,9,9,18,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2006,"301,500",8.5%,6,4,1,1,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",28.0%,7,5,9,6,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2007,"301,500",0.0%,5,5,8,1,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,4,9,8,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2005,"301,500",0.0%,7,6,8,2,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,0,0,17,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,3,8,12,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2009,"301,500",0.0%,12,8,5,1,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"506,122",100.0%,6,4,6,15,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,8,3,23,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",92.0%,10,1,10,11,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,9,5,25,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,7,1,4,23,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,9,5,1,22,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"365,738",100.0%,7,10,8,14,NO
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,10,4,20,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2014,"301,500",81.3%,11,1,1,0,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,6,10,3,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,1,8,9,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2014,"301,500",0.0%,5,9,2,5,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,1,9,2,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",11.3%,7,8,6,11,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,8,3,16,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",15.0%,6,9,2,16,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2006,"826,876",100.0%,7,6,8,23,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"2,649,136",100.0%,6,3,0,25,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"819,622",100.0%,6,7,10,4,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",66.2%,5,3,7,15,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,5,10,4,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SEPARADO, ,SIN DEUDA,2005,"301,500",83.9%,8,9,5,7,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,VIUDO,DEPENDIENTE,SIN DEUDA,2007,"301,500",99.6%,5,2,7,22,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",37.6%,10,3,8,25,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SEPARADO,EMPRESARIO,DEUDA DE 1 MES,2009,"301,500",0.1%,12,0,5,17,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2010,"301,500",0.0%,6,10,5,23,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,4,5,2,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",14.9%,5,10,8,0,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,6,8,7,19,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,3,6,8,SI
ENTRE 40 Y 50,EDUC. MEDIA,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2011,"301,500",0.0%,7,8,8,6,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,3,6,8,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",43.2%,7,8,4,4,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"390,219",100.0%,6,10,8,12,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",0.0%,5,6,6,2,SI
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2010,"301,500",0.0%,6,2,8,14,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,DEUDA DE 1 MES,2009,"301,500",23.4%,7,10,0,22,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"465,763",100.0%,11,3,7,18,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2012,"301,500",0.1%,7,6,5,24,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"868,670",100.0%,7,3,1,20,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,DEUDA DE 1 MES,2005,"3,354,700",100.0%,8,10,7,13,SI
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO, ,SIN DEUDA,2005,"301,500",0.0%,6,2,8,8,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,6,8,16,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,10,5,4,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,2,7,9,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",21.0%,9,4,3,17,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,6,4,1,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"1,733,848",100.0%,6,2,4,3,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",71.5%,12,9,4,15,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,0,1,23,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"301,500",0.0%,5,7,5,14,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"509,601",100.0%,7,3,7,24,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,8,8,5,6,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"460,565",100.0%,6,3,0,6,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",73.0%,13,7,2,20,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"301,500",0.0%,6,5,0,23,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,7,4,10,19,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2007,"301,500",43.4%,6,6,1,25,SI
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,7,8,0,25,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",91.2%,7,2,0,20,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",32.1%,9,8,10,16,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2014,"301,500",0.0%,5,0,2,5,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",11.4%,7,2,5,10,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,3,6,22,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"501,871",100.0%,8,0,4,23,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2005,"6,681,373",100.0%,11,4,2,8,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,7,8,13,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2010,"408,798",100.0%,8,0,6,19,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2008,"301,500",0.0%,8,3,4,21,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"1,713,738",100.0%,11,9,6,20,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,8,8,15,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SEPARADO,EMPRESARIO,SIN DEUDA,2014,"301,500",0.0%,6,8,9,13,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2009,"301,500",45.5%,6,5,6,10,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2006,"2,675,975",100.0%,12,6,5,13,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,CASADO,ESTUDIANTE,DEUDA DE 2 MESES,2007,"301,500",0.0%,5,3,9,10,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2013,"301,500",0.0%,5,10,10,13,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,7,6,25,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,6,9,9,2,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",77.5%,6,7,2,7,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,9,4,25,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",28.5%,6,10,10,2,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"471,082",100.0%,8,6,9,21,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,5,0,21,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,7,7,0,13,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",30.3%,6,10,7,2,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,5,10,10,12,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",64.8%,6,9,8,24,NO
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,7,1,7,14,SI
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.1%,10,0,4,12,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,5,0,14,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,2,0,23,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,8,1,9,0,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2005,"301,500",0.0%,5,10,8,19,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2005,"301,500",0.0%,8,8,4,1,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,,DEUDA DE 1 MES,2012,"301,500",55.2%,9,10,4,7,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,0,4,12,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"301,500",0.0%,5,7,10,3,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,5,10,6,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",100.0%,5,0,0,2,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2011,"301,500",0.0%,5,4,8,21,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,0,7,4,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",28.4%,5,8,0,8,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,6,9,5,13,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,DEUDA DE 2 MESES,2007,"301,500",0.0%,7,1,6,12,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",100.0%,9,6,7,2,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,6,7,10,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,1,4,7,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,0,1,24,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,7,6,8,1,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"560,790",100.0%,13,10,9,15,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",34.4%,6,2,2,14,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,ESTUDIANTE,SIN DEUDA,2010,"301,500",0.0%,5,0,9,9,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2010,"810,064",100.0%,17,5,8,7,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2006,"301,500",0.0%,5,8,4,19,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",1.0%,14,10,0,12,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,6,0,8,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",92.2%,7,3,8,4,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2012,"301,500",26.5%,6,0,4,3,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,6,0,8,1,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,8,5,1,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,5,6,9,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"4,434,872",100.0%,7,6,1,19,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,6,10,3,8,SI
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,1,8,3,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SEPARADO,DEPENDIENTE,DEUDA DE 1 MES,2009,"301,500",0.0%,6,6,0,12,SI
ENTRE 30 Y 40,EDUC. MEDIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"537,532",100.0%,11,8,10,1,NO
